Name,Search Term,Address,Postal,City,Country,Region,Language,SCAC
DATS TRUCKING INC,DTST,321 North Old Highway 91,84737,HURRICANE,US,UT,EN,DTST
DAYTON FREIGHT LINES,DAFG,"6450 Poe Ave., Suite 311",45414,DAYTON,US,OH,EN,DAFG
DEDICATED LOGISTICS,DL1S,3011 Hwy 82 West,71635,CROSSETT,US,AR,EN,DL1S
DELIVERY EXPRESS,DVYE,405 Evans Black Dr,98188,TUKWILA,US,WA,EN,DVYE
DHL EXPRESS,DHLC,1210 S Pine Island Rd Suite 400,33324,PLANTATION,US,FL,EN,DHLC
DHL GLOBAL FORWARDING,DZNA,570 Polaris Pkwy,43082,WESTERVILLE,US,OH,EN,DZNA
EXPEDITORS,EXDO,1015 3rd Ave,98104,SEATTLE,US,WA,EN,EXDO
FEDEX CUSTOM CRITICAL,FDCC,2088 S ARLINGTON ROAD,44306,AKRON,US,OH,EN,FDCC
FRONTIER LEASING,FRLG,5950 Gateway Dr,64804,JOPLIN,US,MO,EN,FRLG
MAGNUM LOGISTICS,MGUL,3000 7th Ave N,58102,FARGO,US,ND,EN,MGUL
MIDWEST MOTOR EXPRESS INC,MIDW,5015 East main Ave,58502,BISMARCK,US,ND,EN,MIDW
N AND M TRANSFER,NMTF,630 Muttart Rd.,54956,NEENAH,US,WI,EN,NMTF
NYK,NYKS,377 E. Butterfield Rd. 5th floor,60148,LOMARD,US,IL,EN,NYKS
PANALPINA INC,PPAF,"703 Waterford Way, Suite 890",33126,MIAMI,US,FL,EN,PPAF
A Veilleux Transport,VLXP,545 Lindbergh,H7P 2N8,Laval,CA,QC,EN,VLXP
A N Webber Logistics,WANQ,2150 S RT 45/52,60901,Kankakee,US,IL,EN,WANQ
ABF Freight System Inc,ABFS,8401 McClure Dr.,72916,Fort Smith,US,AR,EN,ABFS
ARCBEST (PANTHER),PTWT,8401 McClure Dr.,72916,Fort Smith,US,AR,EN,PTWT
Bestway Transportation,DWYP,1195 N. Interstate 45,75152,Palmer,US,TX,EN,BWYP
Big E Transportation,BGET,3901 West Broad St,23230,Richmond,US,VA,EN,BGET
Big G Express,BGXP,190 Hawkins Drive,37160,Shelbyville,US,TN,EN,BGXP
Bison Transport,BIOS,1001 Sherwin Road,R3H 0T8,Winnipeg,CA,MB,EN,BIOS
Building Systems Transportation,BYSY,460 East Hight St,43140,London,US,OH,EN,BYSY
