pec,Material,Description
pec,97826,"Bolt,flange-metr.sm."
pec,113934,Ppc-male
pec,116596,Pipe clip (1-2lines)
pec,116763,Pipe clip (1-2lines)
pec,119129,"Washer,copper-seal."
pec,119136,"Washer,copper-seal."
pec,204294,"Plug,sealing-metr.f."
pec,210914,"Plug,sealing-"
pec,214024,"Plug,sealing-metr.f."
pec,222833,"Plug,sealing-"
pec,224218,"Stud,shouldered,metr"
pec,240583,"Plug,sealing-metr.f."
pec,243562,"Plug,sealing-metr.f."
pec,244680,"Washer,copper-seal."
pec,251837,"Pin,davel-cyl."
pec,251838,"Pin,davel-cyl."
pec,253249,Pipe clip (1-2lines)
pec,259589,Pipe clip (1-2lines)
pec,267438,"Plug,expansion"
pec,272563,"Nut,flange-metr.sm."
pec,279097,"Plug,expansion"
pec,281264,"Plug,sealing-"
pec,296672,"Washer,plain-normal"
pec,300799,"Screw,hex.sckt.metr."
pec,302743,"Pin,cylindrical"
pec,322364,"Washer,copper-seal."
pec,325421,"Washer,plain-hard"
pec,331328,"Washer,copper-seal."
pec,331341,"Washer,copper-seal."
pec,346625,"Washer,copper-seal."
pec,366912,"Ring,O-"
pec,393728,"Bush,adapter"
pec,506907,Pipe clip (1-2lines)
pec,547744,"Plug,sealing-metr.f."
pec,610734,Pipe clip (1-2lines)
pec,620480,Pipe clip (1-2lines)
pec,632216,Pipe clip (1-2lines)
pec,754807,"Bolt,flange-metr.sm."
pec,761461,"Spring clip,fixing"
pec,824313,"Washer,plain-hard-3d"
pec,894852,"Bolt,flange-metr.sm."
pec,964414,Cylinder head
pec,965294,Cylinder block
pec,965669,Cylinder head
pec,965928,Cylinder block
pec,965956,Cylinder head
pec,965957,Cylinder block
pec,966444,Cylinder block
pec,1231051,"Nut,flange-metr.sm."
pec,1231053,"Bolt,flange-10.9"
pec,1231054,"Bolt,flange-10.9"
pec,1231055,"Bolt,flange-10.9"
pec,1231056,"Bolt,flange-10.9"
pec,1231058,"Bolt,flange-10.9"
pec,1231059,"Bolt,flange-10.9"
pec,1231060,"Bolt,flange-10.9"
pec,1231062,"Bolt,flange-10.9"
pec,1236376,"Bolt,flange-10.9"
pec,1236379,"Bolt,flange-10.9"
pec,1243049,"Bolt,flange-10.9"
pec,1243062,"Bolt,flange-10.9"
pec,1243064,"Bolt,flange-10.9"
pec,1243066,"Bolt,flange-10.9"
pec,1243069,"Bolt,flange-10.9"
pec,1243070,"Bolt,flange-10.9"
pec,1243071,"Bolt,flange-10.9"
pec,1243072,"Bolt,flange-10.9"
pec,1243073,"Bolt,flange-10.9"
pec,1243074,"Bolt,flange-10.9"
pec,1243075,"Bolt,flange-10.9"
pec,1243076,"Bolt,flange-10.9"
pec,1243077,"Bolt,flange-10.9"
pec,1243078,"Bolt,flange-10.9"
pec,1262541,"Bolt,flange-10.9"
pec,1295124,"Screw,hexal.soc.h"
pec,1295125,"Screw,hexal.soc.h"
pec,1295126,"Screw,hexal.soc.h"
pec,1295127,"Screw,hexal.soc.h"
pec,1300390,"Bolt,flange-lock.cd"
pec,1305343,"Bolt,flange-10.9"
pec,1308111,Pipe clip (1-2lines)
pec,1308113,Pipe clip (1-2lines)
pec,1313115,"Bolt,flange-10.9"
pec,1313116,"Bolt,flange-10.9"
pec,1313117,"Bolt,flange-10.9"
pec,1313118,"Bolt,flange-10.9"
pec,1313119,"Bolt,flange-10.9"
pec,1313120,"Bolt,flange-10.9"
pec,1313121,"Bolt,flange-10.9"
pec,1313122,"Bolt,flange-10.9"
pec,1313123,"Bolt,flange-10.9"
pec,1313124,"Bolt,flange-10.9"
pec,1313126,"Bolt,flange-10.9"
pec,1313127,"Bolt,flange-10.9"
pec,1313128,"Bolt,flange-10.9"
pec,1313129,"Bolt,flange-10.9"
pec,1313132,"Bolt,flange-10.9"
pec,1313133,"Bolt,flange-10.9"
pec,1313137,"Bolt,flange-10.9"
pec,1313138,"Bolt,flange-10.9"
pec,1313139,"Bolt,flange-10.9"
pec,1313140,"Bolt,flange-10.9"
pec,1313141,"Bolt,flange-10.9"
pec,1313142,"Nut,flange-metr.sm."
pec,1313553,"Bolt,flange-lock.cd"
pec,1313556,"Bolt,flange-10.9"
pec,1314386,"Bolt,flange-lock.cd"
pec,1314792,"Bolt,flange-lock.cd"
