source,Part No,Part Description
kwaust,1,PIN TAIL BAGS
kwaust,00013,SOCKET-FEMALE DUMMY ABS
kwaust,070,"RING-SPRING,TRAILER AIR HOSE"
kwaust,101.284,"CLOCK-ANALOG, BEIGE LED"
kwaust,101.339,"GAUGE-ADBLUE, BLK 12-24V"
kwaust,101.340,"GAUGE-ADBLUE, GOLD 12-24V"
kwaust,150.005,"GAUGE-PRESSURE,400KPA"
kwaust,150.006,"GAUGE-PRESSURE,1000KPA"
kwaust,150.007,GAUGE-FUEL FILTER RES
kwaust,150.008,"GAUGE-PRESSURE, 700KPA"
kwaust,200.0217,GAUGE-SMARTIRE TPMS
kwaust,230.031,ADAPTOR
kwaust,230.038,"BLANK-INSTRUMENT,52MM BLACK"
kwaust,240.053,"GLOBE - 24V2W, GAUGE ILLUM,"
kwaust,301.003,GAUGE-ADBLUE LEVEL
kwaust,301.004,FUEL-LEVEL GAUGE
kwaust,310.001,GAUGE-WATER TEMP 40-120C
kwaust,310.003,GAUGE-PYROMETER
kwaust,310.004,GAUGE-TEMP 50-150C
kwaust,320.092,TEMP SENDER OIL 150C
kwaust,320.093,TEMP SENDER WATER 120C
kwaust,332.001,GAUGE-VOLTMETER
kwaust,333.010,TACHOURMETER-3000 RPM
kwaust,350.001,"GAUGE-PRESSURE,500KPA"
kwaust,370.002,"CLOCK - ANAGLOG, GOLD BEZEL"
kwaust,370.003,"CLOCK - ANAGLOG, BLACK BEZEL"
kwaust,370.005,GAUGE-CLOCK
kwaust,411.105,RATIO INTERFACE MODULE
kwaust,437.005,SPEEDOMETER-120 KM/H
kwaust,550,"FASTENER-CARR,DURABLE DOT NIC."
kwaust,1216,LOCTITE 771 ANTI-SEIZE 500G
kwaust,01707,RS70 DUAL ROTARY SENSOR
kwaust,1719,"LAMP, REVOLVING AMBER 12V"
kwaust,1722,"LAMP, REVOLVING AMBER 24V"
kwaust,2920,RED REFLEX REFLECTOR
kwaust,2922,REFLEX REFLECTOR AMBER
kwaust,3046,DOME PLUG BLACK
kwaust,3070,T-FITTING-WINDSCREEN WASHER
kwaust,3164,"PLIERS MULITGRIP 9.5"" EGAMASTE"
kwaust,3228,"1/2 NUT-NYLOC,M12"
kwaust,3243,SCREWDRIVER PHILLIPS NO2 100MM
kwaust,3324,NUT-NYLOC 10MM STEEL METRIC
kwaust,3421,"NUT CLINCH 3/8"" UNC-ZINC"
kwaust,3761,WASHER-FLAT 1/4X1X1/16 SST304
kwaust,3830,VALVE-BALL
kwaust,3835,SCREW-BLACK PHILIPS M3X6
kwaust,03918,LOCKNUT STAINLESS STEEL
kwaust,3991,PAINT-SPRAY'MATT BLACK 250GM
kwaust,3992,PAINT-SPRAY GLOSS BLACK 350GM
kwaust,4023,BUTTON-RUBBER
kwaust,4070,LAMP-INTERIOR
kwaust,4682,WASHER-1/4X3/4 BLACK
kwaust,4740,SILICONE-BLACK 310GRAM(732RTV)
kwaust,4743,SILICONE-CLEAR 310GRAM(732RTV)
