QF$DOC,QFLITM,QF$LIN,QF$RQJ,QFNXTR,QFDSC1,Supplier,Product_ID,Base_Price
167354,R25-1284-601221211,1000,20191011,230,DOOR-DAYLITE II ASSEMBLY L/H,601155,7832889,0
167461,R25-1284-601221211,1000,20191216,225,DOOR-DAYLITE II ASSEMBLY L/H,601155,7817832,0
171667,AU1540422,1000,20190906,230,PUMP ASSY-AIR ASSIST CAB TILT,6006116,2116144,0
757487,456267A2X1,2000,20190521,400,KIT-BEARING SERVICE,1111159,733397,0
758167,C81-1005,1000,20190627,400,"AIR SPRING AG460 10.5""",6000722,526783,0
758167,C81-1004,2000,20190627,400,"AIR SPRING AG400 9""",6000722,518043,0
759317,GW103,4000,20190617,400,"NOZZLE-WATER SPRAY,TWIN",6006480,22272,0
760346,28483BLT,1000,20190621,400,V BELT-28/32TWX48EL SGL,6250270,95151,0
760383,K068-865,1000,20190719,400,CABLE-HOOD OPENING,6007110,149422,0
760422,TAS85202A,13000,20190623,400,TAS85 STEERING BOX-T409SAR MX,6006905,6261912,0
760735,S60-1452-601,3000,20190625,400,"TRIM-COBRA HEAD, RH",6000715,70039,0
760753,K275-5472R,1000,20190716,400,BRACKET-GRAB HANDLE T300,6006200,68207,0
761065,T85-6230,18000,20190627,400,BRACE - REAR WALL VERT UPR,1111159,224070,0
761416,K140-2257R,1000,20190618,400,GUSSET-CROSSMEMBER,6006815,450958,0
761422,17630BLT,1000,20190718,400,V BELT-TRP 17/32TWX63EL,6250270,32694,0
761455,K223-972,3000,20190702,400,SPRING-AUXILIARY,1111159,78918,0
761455,S63-1036,19000,20190709,400,"PAD - STEERINGWHEEL, MPX",1111159,241122,0
761466,W1374,1000,20190702,400,EXCITER (WHEEL PULSE),6005404,261838,0
761478,SK000131,1000,20190806,400,KIT-SEAL,6006905,140784,0
762270,F66-2612R,7000,20190711,400,"DUCT-SLPR, ELBOW",1111159,152480,0
762321,S60-1594,1000,20190711,400,"TRIM ASSY - DOOR PAD, RH",6250880,1186725,0
762325,J20-1008,3000,20190810,400,LINK-DRAG,6251080,1262401,0
762838,M84-6038,1000,20190723,400,STRAP-VERTICAL EGP,6251330,170378,0
763171,R11-1154-001,1000,20190816,400,BRACKET-SIDE EXTENDER,6005600,198922,0
763171,R11-1154-002,2000,20190816,400,BRACKET-SIDE EXTENDER,6005600,198922,0
763181,17450BLT,1000,20190809,400,BELT-V 17/32 TW X 45 EL,6250270,27667,0
763977,S60-1594,1000,20190806,400,"TRIM ASSY - DOOR PAD, RH",6250880,1194807,0
764036,K140-2257,1000,20190730,400,GUSSET-CROSSMEMBER,6006815,397276,0
764225,102362PS,1000,20190801,400,HEAVY DUTY SHOCK ABSORBER,6006785,348184,0
764840,P21-1049-2203,2000,20190818,400,CONTROL-NGP DOOR CONTROL,6006124,808882,0
764858,K256-517,1000,20190913,400,LAMP-TURN SIGNAL,6006918,424234,0
764858,P54-1038R,2000,20190913,400,LAMP ASSY-TURN SIGNAL,6006918,97900,0
764902,9079A,1000,20190913,400,"KIT-LENS, AMBER",6006918,50795,0
764909,K123-61,2000,20190830,400,ELBOW-RUBBER 90 DEGREE,6251270,79313,0
764979,M66-6554-4280,1000,20190812,400,"PIPE-STAND, EXHAUST 7 IN OD",6250235,2680902,0
765456,Q21-1051-002,4000,20190825,400,"CTRL - DOOR,W/O MIRR CTRL",6006124,218360,0
765594,K060-264-1,1000,20190828,400,BRACKET-LOWER STEP,6010305,41288,0
765605,Q21-6134,1000,20190814,400,SENSOR-OUTSIDE AIR TEMPERATURE,6250930,340238,0
765685,K195-474,1000,20190827,400,TORQUE ROD ASSY AIRGLIDE,6000715,716345,0
765708,K129-502,1000,20190813,400,FITTING AIR BAG UNION,601163,222687,0
765716,K129-500R,1000,20190813,400,FITTING AIRBAG UNION,601163,222687,0
765932,512-3NS,1000,20191213,400,512 MOUNT -RUBBER 50DURO BARRY,6000450,385990,0
766178,R62-1007,1000,20190827,400,MOUNT-REAR CAB,6251200,455174,0
766190,10102TT,1000,20190813,400,PULLER U JOINT,6006820,2567743,0
766193,90HL60R55ST,2000,20190827,400,ELBOW-RUBBER 90 DEG,6251270,99452,0
766534,159090-KN21,1000,20190906,400,CUSHIONS DRIVER VIP BLACK,6006785,2415826,0
766684,S56-1035R,1000,20190910,400,HANDLE-GRAB,6010440,165177,0
766690,175-420-005,1000,20190910,400,DOWEL PIN,6250440,23494,0
766690,175-435-021,2000,20190910,400,RETAINING RING-CAB REMOTE,6250440,7927,0
766690,190-747-001,3000,20190910,400,BALL STUD,6250440,396512,0
766691,P54-6102-20100,1000,20190912,400,HEADLAMP ASSEMBLY - AERO,6250680,1321130,0
766691,P54-6102-20100R,2000,20190912,400,HEADLAMP ASSEMBLY - AERO,6250680,1321130,0
766933,E92-1044-126,1000,20190912,400,CABLE-TRANSMISSION,6250440,950130,0
766933,E92-1044-141,2000,20190912,400,CABLE-TRANSMISSION,6250440,994811,0
767099,R650,1000,20191009,400,THERMOCOUPLE,6005016,321851,0
767246,K221-2325,1000,20190910,400,SPACER,6000650,5045,0
767356,RD-5-8857-0P,2000,20191030,400,"VALVE ASSY-WATER, 5/8 TO 5/8",6006303,285961,0
767590,K282-419-20R,7000,20190923,400,HINGE-CAB DOOR,1111159,499858,0
767590,S63-1010,9000,20191021,400,PAD-STEERING WHEEL,1111159,207265,0
