System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
SAP S4,SAP S4,11526AA, 21 TIDEMAN DRIVE,ROCHLING ENGINEERING PLAST,ORANGEVILLE,ON,CA,L9W 3K3
KW Australia,,6250675," 2865 LIUXIANG ROAD, JIADING DISTRICT",IBCC PROTECH INC,SHANGHAI,,CN,201818
SAP S4,SAP S4,24022LA, AV. DE LA MONTAÑA #128,"EATON TRADING CO., S. DE",QUERETARO,QRO,MX,76220
SAP S4,SAP S4,21722DC, SUITE 110 11101 METRO AIRPORT CENT,POLYBOND- EXPEDITORS,DETROIT,MI,US,48174
KW Australia,,6251295,#05-56 VERTEX,Littelfuse Far East ,,,SG,
PPD Australia,,6250195,#1 17675 66TH AVENUE,Flextech Industries Inc,SURREY,BC,CA    ,V3S 7X1
CASS,P,UNK,#1 240 TAIGANOVA CRESCENT,KENWORTH FORT MCMURRAY,EDMONTON,XX,CA,T9K0J7
PTS,,C223,#1 Frontier Street,Frontier Peterbilt Sales LTD.,ESTEVAN,SK,CA    ,S4A2K9
PTS,,4899,#1 GREENLEAF DRIVE,GREENLEAF CORP,SAEGERTOWN,PA,USA,16433
SAP S4,SAP S4,P627,#1 N CENTRAL DR,MID AMERICA PB,O'FALLON,MO,US,63366
PTS,,P627,#1 N. Central Dr,Mid-America Peterbilt,O FALLON,MO,USA,63366
PTS,,P518,#1 Peterbilt Dr,PB Truck Center of Little Rock,NORTH LITTLE ROCK,AR,USA,72117
SAP S4,SAP S4,00856AA,#101 - 9 BURBIDGE ST.,AMPCO MANUFACTURERS INC,COQUITLAM,BC,CA,V3K 7B2
PTS,,00856AB,#101 - 9 BURBIDGE STREET,AMPCO INC,COQUITLAM,BC,CA    ,V3K7B2
SAP S4,SAP S4,303101,#1904 1155 HARDWOOD ST,CARLA RIEGER,VANCOUVER,BC,CA,V6E 1S1
SAP S4,SAP S4,305583,#215-9440 202 STREET,4REFUEL CANADA LP,LANGLEY,BC,CA,V1M 4A6
Winch,,7915,#2-262 EAST 1ST STREET,PACIFIC PATTERNS INC,NORTH VANCOUVER,BC,CA,V7L-1B3
PTS,,R058,#27-38403 Burnt Lake Trail,Peterbilt Red Deer,RED DEER COUNTY,AB,CA    ,T4S 0K6
CASS,P,C013,#280 BAIJAI SECT DAJIAN RD,CHENGDU ALLIED IND CO LTD,SHAUNGLIU CHENGDU,XX,CN,61025
CASS,T,UNK,#3 DEVELOPMENT DR,WESTMOOR INDUSTRIES,MORRIS,MN,US,57267
CASS,P,UNK,#30 2638 COUNTRY HILL BLVD NE,TRP STORE 016 CALGARY,CALGARY,XX,CA,T3N1A7
PTS,,V911,#30 2638 Country Hills Blvd NE,TRP Store-016-Calgary,CALGARY,AB,CA    ,T3N 1A7
CASS,P,V909,#4 7655 VENTURE PLACE,TRP STORE 012,CHILLIWACK,BC,CA,V2P
